Statistical profiling result from v8.log, (13997 ticks, 10660 unaccounted, 0 excluded).

 [Unknown]:
   ticks  total  nonlib   name
  10660   76.2%

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
   3034   21.7%   21.7%  LazyCompile: *flattenSingleChildIntoContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    697    5.0%    5.0%  LazyCompile: ~flattenSingleChildIntoContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    660    4.7%    4.7%  LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    601    4.3%    4.3%  LazyCompile: _createContentMarkup /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    536    3.8%    3.8%  Script: ReactElement.createElement /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    476    3.4%    3.4%  LazyCompile: *hasOwnProperty native v8natives.js:249
    395    2.8%    2.8%  LazyCompile: *StringReplaceGlobalRegExpWithFunction native string.js:374
    393    2.8%    2.8%  LazyCompile: instantiateChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    373    2.7%    2.7%  LazyCompile: *enqueue /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    342    2.4%    2.4%  LazyCompile: b native v8natives.js:1582
    309    2.2%    2.2%  LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    273    2.0%    2.0%  LazyCompile: bind native v8natives.js:1578
    246    1.8%    1.8%  LazyCompile: _createOpenTagMarkupAndPutListeners /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    231    1.7%    1.7%  LazyCompile: *adler32 /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    206    1.5%    1.5%  LazyCompile: *instantiateReactComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    196    1.4%    1.4%  LazyCompile: *<anonymous> /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    180    1.3%    1.3%  Script: assign /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    177    1.3%    1.3%  LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    171    1.2%    1.2%  LazyCompile: _processChildContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    161    1.2%    1.2%  LazyCompile: *Constructor /Volumes/Projects/react-perf/node_modules/react/lib/ReactClass.js:829
