Statistical profiling result from v8.log, (14146 ticks, 10645 unaccounted, 0 excluded).

 [Unknown]:
   ticks  total  nonlib   name
  10645   75.3%

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
   2074   14.7%   14.7%  LazyCompile: bind native v8natives.js:1578
    878    6.2%    6.2%  LazyCompile: bindAutoBindMethods /Volumes/Projects/react-perf/react/react-with-addons.js:1
    695    4.9%    4.9%  LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    607    4.3%    4.3%  LazyCompile: _createContentMarkup /Volumes/Projects/react-perf/react/react-with-addons.js:1
    591    4.2%    4.2%  LazyCompile: *hasOwnProperty native v8natives.js:249
    555    3.9%    3.9%  Script: ReactElement.createElement /Volumes/Projects/react-perf/react/react-with-addons.js:1
    423    3.0%    3.0%  LazyCompile: *enqueue /Volumes/Projects/react-perf/react/react-with-addons.js:1
    383    2.7%    2.7%  LazyCompile: b native v8natives.js:1582
    355    2.5%    2.5%  LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
    348    2.5%    2.5%  LazyCompile: *StringReplaceGlobalRegExpWithFunction native string.js:374
    306    2.2%    2.2%  LazyCompile: instantiateChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
    299    2.1%    2.1%  LazyCompile: *<anonymous> /Volumes/Projects/react-perf/react/react-with-addons.js:1
    293    2.1%    2.1%  LazyCompile: ~flattenSingleChildIntoContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
    273    1.9%    1.9%  LazyCompile: instantiateReactComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    264    1.9%    1.9%  LazyCompile: *adler32 /Volumes/Projects/react-perf/react/react-with-addons.js:1
    228    1.6%    1.6%  LazyCompile: _createOpenTagMarkupAndPutListeners /Volumes/Projects/react-perf/react/react-with-addons.js:1
    216    1.5%    1.5%  LazyCompile: *flattenSingleChildIntoContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
    212    1.5%    1.5%  Script: assign /Volumes/Projects/react-perf/react/react-with-addons.js:1
    155    1.1%    1.1%  LazyCompile: *Constructor /Volumes/Projects/node_modules/react/lib/ReactClass.js:829
    147    1.0%    1.0%  LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
